Invoice ID,City,Customer type,Gender,Product line,Quantity,Sales,Date,Payment
750-67-8428,Yangon,Member,Female,Health and beauty,7,548.9715,1/5/2019,Ewallet
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,5,80.22,3/8/2019,Cash
631-41-3108,Yangon,Normal,Female,Home and lifestyle,7,340.5255,3/3/2019,Credit card
123-19-1176,Yangon,Member,Female,Health and beauty,8,489.048,1/27/2019,Ewallet
373-73-7910,Yangon,Member,Female,Sports and travel,7,634.3785,2/8/2019,Ewallet
699-14-3026,Naypyitaw,Member,Female,Electronic accessories,7,627.6165,3/25/2019,Ewallet
355-53-5943,Yangon,Member,Female,Electronic accessories,6,433.692,2/25/2019,Ewallet
315-22-5665,Naypyitaw,Member,Female,Home and lifestyle,10,772.38,2/24/2019,Ewallet
665-32-9167,Yangon,Member,Female,Health and beauty,2,76.146,1/10/2019,Credit card
692-92-5582,Mandalay,Member,Female,Food and beverages,3,172.746,2/20/2019,Credit card
351-62-0822,Mandalay,Member,Female,Fashion accessories,4,60.816,2/6/2019,Ewallet
529-56-3974,Mandalay,Member,Female,Electronic accessories,4,107.142,3/9/2019,Cash
365-64-0515,Yangon,Member,Female,Electronic accessories,5,246.4875,2/12/2019,Ewallet
252-56-2699,Yangon,Member,Female,Food and beverages,10,453.495,2/7/2019,Ewallet
829-34-3910,Yangon,Member,Female,Health and beauty,10,749.49,3/29/2019,Cash
299-46-1805,Mandalay,Member,Female,Sports and travel,6,590.436,1/15/2019,Cash
656-95-9349,Yangon,Member,Female,Health and beauty,7,506.6355,3/11/2019,Credit card
765-26-6951,Yangon,Member,Female,Sports and travel,6,457.443,1/1/2019,Credit card
329-62-1586,Yangon,Member,Female,Food and beverages,3,172.2105,1/21/2019,Credit card
319-50-3348,Mandalay,Member,Female,Home and lifestyle,2,84.63,3/11/2019,Ewallet
300-71-4605,Naypyitaw,Member,Female,Electronic accessories,5,451.71,2/25/2019,Ewallet
371-85-5789,Mandalay,Member,Female,Health and beauty,3,277.137,3/5/2019,Ewallet
273-16-6619,Mandalay,Member,Female,Home and lifestyle,2,69.72,3/15/2019,Credit card
636-48-8204,Yangon,Member,Female,Electronic accessories,5,181.44,2/17/2019,Ewallet
549-59-1358,Yangon,Member,Female,Sports and travel,3,279.1845,3/2/2019,Ewallet
227-03-5010,Yangon,Member,Female,Home and lifestyle,8,441.756,3/22/2019,Credit card
649-29-6775,Mandalay,Member,Female,Fashion accessories,1,35.196,2/8/2019,Cash
189-17-4241,Yangon,Member,Female,Fashion accessories,2,184.107,3/10/2019,Credit card
145-94-9061,Mandalay,Member,Female,Food and beverages,5,463.89,1/25/2019,Cash
848-62-7243,Yangon,Member,Female,Health and beauty,9,235.2105,3/15/2019,Cash
871-79-8483,Mandalay,Member,Female,Fashion accessories,5,494.1825,2/25/2019,Credit card
149-71-6266,Mandalay,Member,Female,Sports and travel,9,737.7615,1/28/2019,Cash
640-49-2076,Mandalay,Member,Female,Sports and travel,8,703.752,1/10/2019,Cash
595-11-5460,Yangon,Member,Female,Health and beauty,2,202.818,3/15/2019,Credit card
183-56-6882,Naypyitaw,Member,Female,Food and beverages,4,417.564,2/6/2019,Ewallet
232-16-2483,Naypyitaw,Member,Female,Sports and travel,1,71.526,1/7/2019,Ewallet
